company,feature_years,target_year,true,pred_proba,pred_binary
2,"[2021, 2022]",2023.0,0.0,0.016365131,0
4,"[2021, 2022]",2023.0,0.0,0.21830013,0
8,"[2021, 2022]",2023.0,0.0,0.97671473,1
9,"[2021, 2022]",2023.0,0.0,0.0064379075,0
11,"[2021, 2022]",2023.0,0.0,0.0010261666,0
12,"[2021, 2022]",2023.0,0.0,0.0003634847,0
14,"[2021, 2022]",2023.0,0.0,0.0006788397,0
16,"[2021, 2022]",2023.0,0.0,0.93632627,1
21,"[2021, 2022]",2023.0,0.0,0.9862222,1
25,"[2021, 2022]",2023.0,0.0,0.0022911462,0
26,"[2021, 2022]",2023.0,0.0,0.0003953633,0
27,"[2021, 2022]",2023.0,0.0,0.9946674,1
32,"[2021, 2022]",2023.0,0.0,0.5259679,1
36,"[2021, 2022]",2023.0,0.0,3.4910277e-05,0
37,"[2021, 2022]",2023.0,0.0,0.9740751,1
39,"[2021, 2022]",2023.0,0.0,0.0026747086,0
40,"[2021, 2022]",2023.0,0.0,0.9970932,1
45,"[2021, 2022]",2023.0,0.0,0.9820562,1
49,"[2021, 2022]",2023.0,0.0,4.126482e-05,0
55,"[2021, 2022]",2023.0,0.0,0.9908727,1
59,"[2021, 2022]",2023.0,0.0,0.7716734,1
60,"[2021, 2022]",2023.0,0.0,0.06185641,0
61,"[2021, 2022]",2023.0,0.0,0.9175221,1
62,"[2021, 2022]",2023.0,0.0,1.1422062e-05,0
63,"[2021, 2022]",2023.0,0.0,0.0064874333,0
69,"[2021, 2022]",2023.0,0.0,0.99336857,1
78,"[2021, 2022]",2023.0,0.0,0.5757847,1
88,"[2021, 2022]",2023.0,0.0,0.0009172082,0
89,"[2021, 2022]",2023.0,0.0,0.9978752,1
90,"[2021, 2022]",2023.0,0.0,0.010904919,0
96,"[2021, 2022]",2023.0,0.0,0.019330671,0
99,"[2021, 2022]",2023.0,0.0,0.0021346554,0
100,"[2021, 2022]",2023.0,0.0,0.15159412,0
151,"[2021, 2022]",2023.0,0.0,0.31638837,0
157,"[2021, 2022]",2023.0,0.0,0.020002887,0
158,"[2021, 2022]",2023.0,0.0,0.9925411,1
159,"[2021, 2022]",2023.0,0.0,0.00036660457,0
301,"[2021, 2022]",2023.0,0.0,0.7786897,1
338,"[2021, 2022]",2023.0,0.0,0.8671966,1
400,"[2021, 2022]",2023.0,0.0,0.03184829,0
402,"[2021, 2022]",2023.0,0.0,0.994965,1
404,"[2021, 2022]",2023.0,0.0,0.9844803,1
407,"[2021, 2022]",2023.0,0.0,0.9968092,1
408,"[2021, 2022]",2023.0,0.0,4.227387e-06,0
409,"[2021, 2022]",2023.0,0.0,0.5611057,1
410,"[2021, 2022]",2023.0,0.0,0.9975789,1
415,"[2021, 2022]",2023.0,0.0,0.9985952,1
416,"[2021, 2022]",2023.0,1.0,0.21563175,0
417,"[2021, 2022]",2023.0,0.0,0.9975349,1
419,"[2021, 2022]",2023.0,0.0,0.957435,1
420,"[2021, 2022]",2023.0,0.0,0.9863327,1
421,"[2021, 2022]",2023.0,0.0,0.9966683,1
422,"[2021, 2022]",2023.0,0.0,8.88557e-06,0
423,"[2021, 2022]",2023.0,0.0,0.0026147596,0
425,"[2021, 2022]",2023.0,0.0,0.038659107,0
428,"[2021, 2022]",2023.0,0.0,0.032728292,0
429,"[2021, 2022]",2023.0,0.0,5.12665e-05,0
430,"[2021, 2022]",2023.0,0.0,0.99616206,1
488,"[2021, 2022]",2023.0,0.0,0.89344007,1
501,"[2021, 2022]",2023.0,0.0,0.9953009,1
503,"[2021, 2022]",2023.0,0.0,0.4796083,0
505,"[2021, 2022]",2023.0,0.0,0.00088819664,0
507,"[2021, 2022]",2023.0,0.0,0.9955183,1
510,"[2021, 2022]",2023.0,0.0,0.00038307646,0
513,"[2021, 2022]",2023.0,0.0,0.006826014,0
516,"[2021, 2022]",2023.0,0.0,0.9986078,1
517,"[2021, 2022]",2023.0,0.0,0.94580215,1
518,"[2021, 2022]",2023.0,0.0,0.89261156,1
519,"[2021, 2022]",2023.0,0.0,0.6133087,1
521,"[2021, 2022]",2023.0,0.0,0.9103861,1
523,"[2021, 2022]",2023.0,0.0,0.03094821,0
524,"[2021, 2022]",2023.0,0.0,0.9608713,1
525,"[2021, 2022]",2023.0,1.0,0.37527058,0
528,"[2021, 2022]",2023.0,0.0,0.96421057,1
529,"[2021, 2022]",2023.0,0.0,4.102235e-06,0
530,"[2021, 2022]",2023.0,0.0,0.9904394,1
532,"[2021, 2022]",2023.0,0.0,7.771021e-05,0
536,"[2021, 2022]",2023.0,0.0,0.99923,1
537,"[2021, 2022]",2023.0,0.0,0.0032751441,0
538,"[2021, 2022]",2023.0,0.0,0.024183845,0
539,"[2021, 2022]",2023.0,0.0,0.99917006,1
541,"[2021, 2022]",2023.0,0.0,0.9926864,1
543,"[2021, 2022]",2023.0,0.0,0.99880016,1
546,"[2021, 2022]",2023.0,0.0,0.99371225,1
548,"[2021, 2022]",2023.0,0.0,0.018578324,0
550,"[2021, 2022]",2023.0,0.0,0.9792084,1
551,"[2021, 2022]",2023.0,0.0,0.98429096,1
552,"[2021, 2022]",2023.0,0.0,8.189486e-06,0
554,"[2021, 2022]",2023.0,0.0,0.99779785,1
555,"[2021, 2022]",2023.0,0.0,0.36605102,0
559,"[2021, 2022]",2023.0,0.0,0.9518729,1
561,"[2021, 2022]",2023.0,0.0,0.9285418,1
565,"[2021, 2022]",2023.0,0.0,0.0054374593,0
567,"[2021, 2022]",2023.0,0.0,0.0001679678,0
568,"[2021, 2022]",2023.0,0.0,7.230588e-06,0
570,"[2021, 2022]",2023.0,0.0,0.13397211,0
571,"[2021, 2022]",2023.0,0.0,0.9936242,1
572,"[2021, 2022]",2023.0,0.0,0.89706314,1
573,"[2021, 2022]",2023.0,0.0,0.011962321,0
576,"[2021, 2022]",2023.0,0.0,0.0063896435,0
581,"[2021, 2022]",2023.0,0.0,0.0012657583,0
582,"[2021, 2022]",2023.0,0.0,0.004095236,0
589,"[2021, 2022]",2023.0,0.0,0.9973103,1
590,"[2021, 2022]",2023.0,0.0,0.87004566,1
591,"[2021, 2022]",2023.0,0.0,0.0027668087,0
593,"[2021, 2022]",2023.0,0.0,0.9868553,1
595,"[2021, 2022]",2023.0,0.0,0.986568,1
596,"[2021, 2022]",2023.0,0.0,0.000109203465,0
597,"[2021, 2022]",2023.0,0.0,0.9899859,1
598,"[2021, 2022]",2023.0,0.0,0.0021612316,0
599,"[2021, 2022]",2023.0,0.0,0.9907828,1
600,"[2021, 2022]",2023.0,0.0,0.9981337,1
601,"[2021, 2022]",2023.0,0.0,0.9969541,1
603,"[2021, 2022]",2023.0,0.0,3.7703627e-05,0
608,"[2021, 2022]",2023.0,0.0,0.01838136,0
609,"[2021, 2022]",2023.0,0.0,0.7855534,1
610,"[2021, 2022]",2023.0,0.0,0.995828,1
612,"[2021, 2022]",2023.0,0.0,0.011551506,0
617,"[2021, 2022]",2023.0,0.0,0.03396816,0
619,"[2021, 2022]",2023.0,0.0,0.9957841,1
623,"[2021, 2022]",2023.0,0.0,0.00088353065,0
625,"[2021, 2022]",2023.0,0.0,0.2273578,0
630,"[2021, 2022]",2023.0,0.0,8.356494e-05,0
631,"[2021, 2022]",2023.0,0.0,0.0014686986,0
632,"[2021, 2022]",2023.0,0.0,0.9393783,1
635,"[2021, 2022]",2023.0,0.0,0.9975581,1
636,"[2021, 2022]",2023.0,0.0,0.012245901,0
637,"[2021, 2022]",2023.0,1.0,0.99007505,1
639,"[2021, 2022]",2023.0,0.0,0.9902408,1
650,"[2021, 2022]",2023.0,0.0,0.0005499914,0
651,"[2021, 2022]",2023.0,0.0,0.00036588672,0
655,"[2021, 2022]",2023.0,0.0,0.0028330307,0
656,"[2021, 2022]",2023.0,0.0,0.97244084,1
659,"[2021, 2022]",2023.0,0.0,0.9990237,1
661,"[2021, 2022]",2023.0,0.0,5.8817597e-05,0
663,"[2021, 2022]",2023.0,0.0,4.406909e-05,0
665,"[2021, 2022]",2023.0,0.0,0.99914956,1
669,"[2021, 2022]",2023.0,1.0,0.99958664,1
679,"[2021, 2022]",2023.0,0.0,0.18918894,0
680,"[2021, 2022]",2023.0,0.0,0.20508112,0
683,"[2021, 2022]",2023.0,0.0,4.679192e-05,0
685,"[2021, 2022]",2023.0,0.0,0.0015562056,0
690,"[2021, 2022]",2023.0,0.0,0.02567282,0
692,"[2021, 2022]",2023.0,1.0,0.9994252,1
698,"[2021, 2022]",2023.0,0.0,0.99056154,1
700,"[2021, 2022]",2023.0,0.0,0.52501166,1
701,"[2021, 2022]",2023.0,0.0,0.00034832154,0
702,"[2021, 2022]",2023.0,0.0,0.9958319,1
703,"[2021, 2022]",2023.0,0.0,0.9195328,1
705,"[2021, 2022]",2023.0,0.0,0.97126275,1
707,"[2021, 2022]",2023.0,0.0,2.2871493e-06,0
708,"[2021, 2022]",2023.0,0.0,0.00017480148,0
709,"[2021, 2022]",2023.0,0.0,0.99235356,1
713,"[2021, 2022]",2023.0,0.0,0.0027332,0
717,"[2021, 2022]",2023.0,0.0,0.0007033783,0
718,"[2021, 2022]",2023.0,0.0,0.0072706374,0
720,"[2021, 2022]",2023.0,0.0,0.819366,1
721,"[2021, 2022]",2023.0,0.0,0.99558467,1
725,"[2021, 2022]",2023.0,0.0,0.0027367948,0
726,"[2021, 2022]",2023.0,0.0,4.0756953e-05,0
729,"[2021, 2022]",2023.0,0.0,0.99576616,1
731,"[2021, 2022]",2023.0,0.0,4.5257384e-05,0
733,"[2021, 2022]",2023.0,0.0,5.1083054e-05,0
735,"[2021, 2022]",2023.0,0.0,0.9976671,1
736,"[2021, 2022]",2023.0,0.0,0.9815865,1
737,"[2021, 2022]",2023.0,0.0,1.4002857e-05,0
738,"[2021, 2022]",2023.0,0.0,0.027684031,0
752,"[2021, 2022]",2023.0,1.0,0.9610434,1
753,"[2021, 2022]",2023.0,0.0,0.95847636,1
755,"[2021, 2022]",2023.0,0.0,0.00015060618,0
756,"[2021, 2022]",2023.0,0.0,0.011441761,0
758,"[2021, 2022]",2023.0,0.0,0.9993254,1
759,"[2021, 2022]",2023.0,0.0,0.99890566,1
761,"[2021, 2022]",2023.0,0.0,0.14826587,0
762,"[2021, 2022]",2023.0,0.0,5.8639994e-06,0
767,"[2021, 2022]",2023.0,0.0,0.97644573,1
768,"[2021, 2022]",2023.0,0.0,0.2037908,0
777,"[2021, 2022]",2023.0,0.0,0.15342899,0
778,"[2021, 2022]",2023.0,0.0,0.85199535,1
779,"[2021, 2022]",2023.0,0.0,0.31965587,0
782,"[2021, 2022]",2023.0,0.0,0.9449707,1
785,"[2021, 2022]",2023.0,0.0,0.00048365703,0
786,"[2021, 2022]",2023.0,0.0,8.558252e-05,0
788,"[2021, 2022]",2023.0,0.0,0.8152205,1
789,"[2021, 2022]",2023.0,0.0,0.000883151,0
790,"[2021, 2022]",2023.0,0.0,0.014706404,0
791,"[2021, 2022]",2023.0,0.0,0.13976389,0
795,"[2021, 2022]",2023.0,0.0,0.24282219,0
797,"[2021, 2022]",2023.0,0.0,0.9733051,1
798,"[2021, 2022]",2023.0,0.0,0.9916129,1
799,"[2021, 2022]",2023.0,0.0,8.587228e-06,0
800,"[2021, 2022]",2023.0,0.0,0.3299558,0
801,"[2021, 2022]",2023.0,0.0,0.744516,1
802,"[2021, 2022]",2023.0,0.0,0.03613864,0
807,"[2021, 2022]",2023.0,0.0,7.114437e-06,0
809,"[2021, 2022]",2023.0,0.0,0.84958476,1
812,"[2021, 2022]",2023.0,0.0,0.99747986,1
815,"[2021, 2022]",2023.0,0.0,0.97313,1
819,"[2021, 2022]",2023.0,0.0,2.8985314e-05,0
821,"[2021, 2022]",2023.0,0.0,0.9563737,1
822,"[2021, 2022]",2023.0,0.0,2.93392e-06,0
823,"[2021, 2022]",2023.0,0.0,0.0032581699,0
825,"[2021, 2022]",2023.0,0.0,0.00048936333,0
826,"[2021, 2022]",2023.0,0.0,0.9970214,1
828,"[2021, 2022]",2023.0,0.0,0.0021574434,0
830,"[2021, 2022]",2023.0,0.0,5.1906016e-05,0
837,"[2021, 2022]",2023.0,0.0,0.9951604,1
838,"[2021, 2022]",2023.0,0.0,0.92961335,1
839,"[2021, 2022]",2023.0,1.0,0.9948207,1
848,"[2021, 2022]",2023.0,0.0,1.3563604e-05,0
850,"[2021, 2022]",2023.0,0.0,0.002551911,0
851,"[2021, 2022]",2023.0,0.0,0.9740288,1
852,"[2021, 2022]",2023.0,0.0,0.9360137,1
856,"[2021, 2022]",2023.0,0.0,0.9975884,1
858,"[2021, 2022]",2023.0,0.0,4.9580834e-05,0
859,"[2021, 2022]",2023.0,0.0,0.005109721,0
860,"[2021, 2022]",2023.0,0.0,0.9787935,1
861,"[2021, 2022]",2023.0,0.0,0.99953127,1
862,"[2021, 2022]",2023.0,0.0,0.97480166,1
868,"[2021, 2022]",2023.0,0.0,0.9970074,1
869,"[2021, 2022]",2023.0,0.0,0.0071543367,0
875,"[2021, 2022]",2023.0,0.0,0.99186254,1
877,"[2021, 2022]",2023.0,0.0,0.032188732,0
878,"[2021, 2022]",2023.0,0.0,2.8309973e-05,0
880,"[2021, 2022]",2023.0,0.0,0.47048324,0
881,"[2021, 2022]",2023.0,0.0,0.98333156,1
882,"[2021, 2022]",2023.0,0.0,0.9986545,1
885,"[2021, 2022]",2023.0,0.0,0.0046355426,0
886,"[2021, 2022]",2023.0,0.0,0.0002605834,0
888,"[2021, 2022]",2023.0,0.0,0.9937309,1
889,"[2021, 2022]",2023.0,1.0,0.9363526,1
890,"[2021, 2022]",2023.0,0.0,0.97248363,1
893,"[2021, 2022]",2023.0,0.0,0.00011134242,0
