Stkcd,target,year_1,year_2,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,embedding_100,embedding_101,embedding_102,embedding_103,embedding_104,embedding_105,embedding_106,embedding_107,embedding_108,embedding_109,embedding_110,embedding_111,embedding_112,embedding_113,embedding_114,embedding_115,embedding_116,embedding_117,embedding_118,embedding_119,embedding_120,embedding_121,embedding_122,embedding_123,embedding_124,embedding_125,embedding_126,embedding_127,dataset
2,0.0,2010,2011,0.9640276,-2.8955083e-23,0.0,0.0,-1.8406225e-12,0.0,-3.9047319999999996e-24,-5.745285e-32,9.700002e-31,-3.9752698e-11,-4.2965535e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-2.039244e-37,-4.906239e-10,8.482316e-28,-2.0152163e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.6482145e-19,8.636997e-39,4.885067000000001e-22,0.0,-4.2123884e-11,8.609573e-09,8.2637916e-12,-1.0327404e-24,1.4198300999999998e-18,-1.8163144e-23,-5.566298700000001e-26,0.0,8.6339265e-09,0.0,0.0,3.7649576000000003e-26,0.0,-2.4238201e-26,0.7615942,-1.1076733e-09,0.0,0.9640276,1.4760723e-12,-0.7615942,6.04969e-10,0.0,-0.03453569,0.0,0.0,-1.0812832e-09,-2.3728169e-24,0.0,1.4454801000000001e-27,-1.1740044e-36,0.7615942,-0.0,0.0,3.211805e-15,4.5919274e-17,0.0,3.823806e-10,0.0,1.9257523e-36,0.0,0.0,-0.0,-3.253027e-14,-0.7615942,-0.9640276,-1.2294522e-32,0.0,-0.7615942,1.9770559e-12,0.0,0.0,-1.2619472e-30,0.0,0.9640276,-0.0,-4.865031e-12,2.1537336e-34,0.0,-0.9640276,0.0,-0.0,-1.0499665e-26,1.2771172e-20,0.0,3.0525262000000003e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-1.5589729000000002e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,1.1547812000000001e-30,8.260624000000001e-17,-0.0,0.0,-2.4948875e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2011,2012,0.9640276,-2.7090503e-23,0.0,0.0,-2.4363797e-12,0.0,-4.669715e-24,-6.455677400000001e-32,1.3851005e-30,-5.039988e-11,-2.4775459e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-1.2045675999999999e-37,-3.2489608e-10,5.854365e-28,-1.1181149e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.3219444999999998e-19,1.5812592e-38,4.979706e-22,0.0,-4.574925e-11,1.019094e-08,7.710231e-12,-9.883733e-25,1.043411e-18,-8.107332999999999e-24,-5.108352e-26,0.0,9.558743e-09,0.0,0.0,3.0983994e-26,0.0,-2.3107264e-26,0.7615942,-1.4000676e-09,0.0,0.9640276,1.3272178e-12,-0.7615942,7.7842827e-10,0.0,0.04143876,0.0,0.0,-1.5837288e-09,-2.3614212000000002e-24,0.0,1.5012966000000001e-27,-1.2404025e-36,0.7615942,-0.0,0.0,3.6589126e-15,5.996592000000001e-17,0.0,4.322935e-10,0.0,1.0156765499999999e-36,0.0,0.0,-0.0,-2.4993769e-14,-0.7615942,-0.9640276,-1.5996984000000002e-32,0.0,-0.7615942,2.4626878e-12,0.0,0.0,-1.1064068e-30,0.0,0.9640276,-0.0,-4.5015163e-12,1.4995505e-34,0.0,-0.9640276,0.0,-0.0,-1.09396226e-26,8.226146e-21,0.0,2.6964252e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-1.8464581000000002e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,7.923801e-31,4.954916e-17,-0.0,0.0,-2.935651e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2012,2013,0.9640276,-2.0809314e-23,0.0,0.0,-2.678098e-12,0.0,-4.9984223e-24,-4.0275046e-32,1.1688569999999999e-30,-5.946843e-11,-2.6006883000000004e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-1.0630351e-37,-2.745408e-10,5.7772050000000005e-28,-1.3038035e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.2319184999999998e-19,1.4023131000000002e-38,3.269997e-22,0.0,-4.7376394e-11,9.273771e-09,7.944699e-12,-9.049456e-25,8.404642999999999e-19,-8.5591645e-24,-4.2000763e-26,0.0,1.126001e-08,0.0,0.0,2.3802604e-26,0.0,-1.9269978e-26,0.7615942,-1.5011853e-09,0.0,0.9640276,9.876144e-13,-0.7615942,8.235919e-10,0.0,-0.0040893583,0.0,0.0,-1.5391893e-09,-2.0540423e-24,0.0,1.1585775000000001e-27,-1.2491014e-36,0.7615942,-0.0,0.0,2.9251177e-15,5.876347000000001e-17,0.0,5.432009e-10,0.0,9.330698e-37,0.0,0.0,-0.0,-2.0826379e-14,-0.7615942,-0.9640276,-1.8113692000000002e-32,0.0,-0.7615942,2.041231e-12,0.0,0.0,-8.915019999999999e-31,0.0,0.9640276,-0.0,-4.3253717e-12,2.0893505e-34,0.0,-0.9640276,0.0,-0.0,-6.791387000000001e-27,9.258861e-21,0.0,2.1514103e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-2.391369e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,6.2454240000000005e-31,5.6840695e-17,-0.0,0.0,-4.0890366e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2013,2014,0.9640276,-1.9074953e-23,0.0,0.0,-3.2225392e-12,0.0,-5.8428109999999996e-24,-2.5385873e-32,1.0427246e-30,-6.1732015e-11,-3.5688233e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-9.838746e-38,-2.3724522e-10,6.069906e-28,-1.1326301999999999e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.02341784e-19,1.30551e-38,2.3152835000000003e-22,0.0,-5.0315873e-11,1.16371455e-08,7.997962e-12,-8.471883000000001e-25,6.9307246e-19,-1.0276856e-23,-4.0479202000000003e-26,0.0,1.1350293e-08,0.0,0.0,1.8284237e-26,0.0,-1.8249393e-26,0.7615942,-1.4853893e-09,0.0,0.9640276,7.159465e-13,-0.7615942,5.900827e-10,0.0,-0.03574048,0.0,0.0,-1.5252869e-09,-2.3376432e-24,0.0,6.9362574e-28,-1.2047092499999999e-36,0.7615942,-0.0,0.0,2.0565863e-15,6.50847e-17,0.0,5.5232996e-10,0.0,5.880833499999999e-37,0.0,0.0,-0.0,-1.6908155e-14,-0.7615942,-0.9640276,-1.6535523e-32,0.0,-0.7615942,1.5741553e-12,0.0,0.0,-7.902489e-31,0.0,0.9640276,-0.0,-4.6752194e-12,2.4601673e-34,0.0,-0.9640276,0.0,-0.0,-3.4981605000000005e-27,1.1275874e-20,0.0,2.0673897e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-2.706994e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,6.4029506e-31,6.3263e-17,-0.0,0.0,-6.991075e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2014,2015,0.9640276,-1.845482e-23,0.0,0.0,-2.8089274e-12,0.0,-6.3692677000000006e-24,-2.9664623e-32,1.0896524e-30,-7.07642e-11,-2.0898869999999998e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-6.3070746e-38,-2.1240941e-10,4.905968000000001e-28,-8.812016999999999e-38,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,9.341826e-20,1.7924985000000002e-38,2.7070064000000003e-22,0.0,-5.2408165e-11,1.2870761e-08,6.0650742e-12,-8.669445e-25,6.267480299999999e-19,-4.7887083e-24,-3.6968253e-26,0.0,1.0761441e-08,0.0,0.0,2.1590249999999998e-26,0.0,-1.6885206e-26,0.7615942,-1.7898975e-09,0.0,0.9640276,8.8020975e-13,-0.7615942,9.728192e-10,0.0,0.061390243,0.0,0.0,-1.7997623e-09,-1.9173771000000002e-24,0.0,1.0034880000000001e-27,-1.0634199e-36,0.7615942,-0.0,0.0,2.8774948e-15,7.131867000000001e-17,0.0,7.5163664e-10,0.0,5.926285e-37,0.0,0.0,-0.0,-1.5807437e-14,-0.7615942,-0.9640276,-1.9574294000000002e-32,0.0,-0.7615942,1.9335943e-12,0.0,0.0,-7.105287000000001e-31,0.0,0.9640276,-0.0,-4.1881915e-12,1.5917876e-34,0.0,-0.9640276,0.0,-0.0,-5.1588803000000005e-27,1.0080347999999999e-20,0.0,1.7712685000000002e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-2.8395234000000003e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,4.5558136e-31,4.3142763e-17,-0.0,0.0,-5.214610599999999e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2015,2016,0.9640276,-1.6661732e-23,0.0,0.0,-3.0128283e-12,0.0,-5.633763e-24,-2.5105885000000003e-32,1.10644045e-30,-8.8315986e-11,-1.7723388000000002e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-4.832371600000001e-38,-1.5377799e-10,4.397916e-28,-6.084647e-38,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.0338062e-19,2.934895e-38,2.0468037e-22,0.0,-5.12898e-11,1.1998743e-08,6.4005997e-12,-8.863024e-25,5.6836097e-19,-4.2771565e-24,-3.6323264e-26,0.0,1.3478009e-08,0.0,0.0,1.5524262e-26,0.0,-1.2669563000000001e-26,0.7615942,-1.7007673e-09,0.0,0.9640276,8.9022024e-13,-0.7615942,1.122153e-09,0.0,0.018707465,0.0,0.0,-1.8708466e-09,-1.8113037e-24,0.0,9.585985000000001e-28,-1.1046350999999999e-36,0.7615942,-0.0,0.0,2.344837e-15,8.415392e-17,0.0,6.950443e-10,0.0,3.0948803999999995e-37,0.0,0.0,-0.0,-1.5079416e-14,-0.7615942,-0.9640276,-2.3119755000000002e-32,0.0,-0.7615942,2.4140605e-12,0.0,0.0,-5.0267308e-31,0.0,0.9640276,-0.0,-4.3582312e-12,1.230752e-34,0.0,-0.9640276,0.0,-0.0,-3.7168672e-27,6.871015e-21,0.0,1.5374204e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-3.952206e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,3.5744533e-31,3.0434268e-17,-0.0,0.0,-5.9503455e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
2,0.0,2016,2017,0.9640276,-2.3269794e-23,0.0,0.0,-2.6624098e-12,0.0,-5.537872e-24,-2.8497833e-32,1.2457805000000001e-30,-8.985997e-11,-1.7659006000000002e-38,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-2.1514804000000002e-38,-1.2557028e-10,3.0802587e-28,-4.5594356e-38,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.0292533999999999e-19,2.6283494e-38,1.7798005e-22,0.0,-5.0335847e-11,1.21236905e-08,3.1075695e-12,-8.893354e-25,6.453913399999999e-19,-3.0859542e-24,-3.3907158e-26,0.0,1.0434385e-08,0.0,0.0,1.6701799000000002e-26,0.0,-9.516215500000001e-27,0.7615942,-2.3658078e-09,0.0,0.9640276,8.520676e-13,-0.7615942,1.5506596e-09,0.0,0.043969385,0.0,0.0,-2.3261886e-09,-1.8921858e-24,0.0,1.0078651e-27,-9.191484e-37,0.7615942,-0.0,0.0,3.4301832e-15,1.06320886e-16,0.0,5.505703e-10,0.0,2.3558214999999997e-37,0.0,0.0,-0.0,-1.5370965e-14,-0.7615942,-0.9640276,-2.2170003000000002e-32,0.0,-0.7615942,2.0011163e-12,0.0,0.0,-6.2611199999999995e-31,0.0,0.9640276,-0.0,-3.8746827e-12,8.8907126e-35,0.0,-0.9640276,0.0,-0.0,-2.6855315e-27,9.091459e-21,0.0,2.066002e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-5.495226e-16,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,3.0453328e-31,2.2401475e-17,-0.0,0.0,-5.44646e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
4,0.0,2010,2011,0.9640276,-6.2628606000000005e-24,0.0,0.0,-2.2253098e-12,0.0,-5.9836046e-24,-4.013226e-32,3.9716813e-31,-2.153886e-11,-1.4506693e-37,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-1.4514455999999999e-37,-2.3469833e-09,2.2265728e-27,-1.264128e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,1.0070036e-19,3.8333915000000004e-38,9.444596000000001e-22,0.0,-4.051859e-11,1.1973107e-08,2.4820292e-11,-2.198333e-24,1.8115016e-18,-1.73615e-23,-3.512885e-26,0.0,4.2390793e-09,0.0,0.0,4.8075982e-26,0.0,-1.7966049999999998e-26,0.7615942,-1.0297275e-09,0.0,0.9640276,1.892979e-12,-0.7615942,6.4992445e-10,0.0,-0.040032286,0.0,0.0,-9.333502e-10,-2.1675243000000002e-24,0.0,2.1817339000000002e-27,-3.770796399999999e-37,0.7615942,-0.0,0.0,3.3775314e-15,4.7629156e-17,0.0,5.432133e-10,0.0,6.374761399999999e-37,0.0,0.0,-0.0,-1.0218502e-14,-0.7615942,-0.9640276,-1.0824562e-32,0.0,-0.7615942,2.8074398e-12,0.0,0.0,-3.0439989e-30,0.0,0.9640276,-0.0,-1.5002308e-11,1.7398937e-34,0.0,-0.9640276,0.0,-0.0,-2.197738e-26,2.5349789999999998e-20,0.0,2.387871e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-5.2092212e-17,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,4.5829903e-30,1.0816094000000001e-16,-0.0,0.0,-3.0447092e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
4,0.0,2011,2012,0.9640276,-6.9305036e-24,0.0,0.0,-2.5839066e-12,0.0,-7.900592e-24,-4.1182072000000003e-32,4.1498247e-31,-2.4123934e-11,-1.0403516999999999e-37,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-1.1512582e-37,-1.2651491e-09,1.6212153e-27,-1.1076737e-37,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,7.985212e-20,4.4449798000000005e-38,7.797773e-22,0.0,-4.5805488e-11,1.7493203e-08,2.0149025e-11,-2.1099463e-24,1.4375293999999999e-18,-1.2990222e-23,-3.1316434e-26,0.0,4.852421e-09,0.0,0.0,3.3526102e-26,0.0,-1.6075263e-26,0.7615942,-1.5505316e-09,0.0,0.9640276,1.131665e-12,-0.7615942,7.1624234e-10,0.0,0.0086576305,0.0,0.0,-9.888291e-10,-2.1334315e-24,0.0,1.5363304e-27,-4.453740399999999e-37,0.7615942,-0.0,0.0,3.531328e-15,6.646820400000001e-17,0.0,5.821729e-10,0.0,4.5193723e-37,0.0,0.0,-0.0,-7.843127e-15,-0.7615942,-0.9640276,-1.2743436e-32,0.0,-0.7615942,2.833104e-12,0.0,0.0,-2.7623038e-30,0.0,0.9640276,-0.0,-1.3853779e-11,1.9787005e-34,0.0,-0.9640276,0.0,-0.0,-1.8198044e-26,1.8470124e-20,0.0,2.2646492e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-9.257831000000001e-17,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,3.1365311e-30,7.551858e-17,-0.0,0.0,-4.1880919999999997e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
4,0.0,2012,2013,0.9640276,-3.1013226e-24,0.0,0.0,-2.0350475e-12,0.0,-9.892005e-24,-2.2121035e-32,3.7122239e-31,-2.510824e-11,-1.4541264999999998e-37,0.0,-0.7615942,0.0,0.0,-0.7615942,0.0,0.0,0.0,0.0,0.0,-5.345399e-38,-1.5307603e-09,2.3933518e-27,-6.0260884e-38,0.0,-0.7615942,0.0,0.0,-0.0,-0.0,0.0,0.9640276,0.0,0.0,7.320493999999999e-20,9.787377999999998e-38,7.253504600000001e-22,0.0,-5.2954655e-11,1.9519057e-08,2.015905e-11,-2.6885176e-24,1.4426161999999999e-18,-6.2422465e-24,-3.0533509999999996e-26,0.0,3.2357217e-09,0.0,0.0,3.9916035000000004e-26,0.0,-1.387959e-26,0.7615942,-1.2324743e-09,0.0,0.9640276,1.7969685e-12,-0.7615942,8.3536644e-10,0.0,0.01613367,0.0,0.0,-1.0241016e-09,-2.0473228e-24,0.0,1.7857473e-27,-2.5210692999999997e-37,0.7615942,-0.0,0.0,3.3199456e-15,5.652134000000001e-17,0.0,6.8466555e-10,0.0,2.281774e-37,0.0,0.0,-0.0,-6.377732e-15,-0.7615942,-0.9640276,-1.7549155000000002e-32,0.0,-0.7615942,2.387798e-12,0.0,0.0,-2.4062567000000003e-30,0.0,0.9640276,-0.0,-1.3078036e-11,1.2353517e-34,0.0,-0.9640276,0.0,-0.0,-1.697468e-26,3.5422834e-20,0.0,1.5843366000000002e-27,0.0,0.0,0.0,0.0,-0.7615942,-0.0,-6.522705e-17,0.0,0.7615942,-0.7615942,0.0,0.0,-0.0,-0.9640276,0.0,3.880848e-30,1.0346568300000001e-16,-0.0,0.0,-5.4013064e-35,0.7615942,-0.7615942,-0.7615942,0.0,train
